Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1,55,Male,Blouse,Clothing,53,Kentucky,3,Gray,Winter,3.1,1,Express,1,1,14,Venmo,26.0
2,19,Male,Sweater,Clothing,64,Maine,3,Maroon,Winter,3.1,1,Express,1,1,2,Cash,26.0
3,50,Male,Jeans,Clothing,73,Massachusetts,1,Maroon,Spring,3.1,1,Free Shipping,1,1,23,Credit Card,52.0
4,21,Male,Sandals,Footwear,90,Rhode Island,2,Maroon,Spring,3.5,1,Next Day Air,1,1,49,PayPal,52.0
5,45,Male,Blouse,Clothing,49,Oregon,2,Turquoise,Spring,2.7,1,Free Shipping,1,1,31,PayPal,1.0
6,46,Male,Sneakers,Footwear,20,Wyoming,2,White,Summer,2.9,1,Standard,1,1,14,Venmo,52.0
7,63,Male,Shirt,Clothing,85,Montana,2,Gray,Fall,3.2,1,Free Shipping,1,1,49,Cash,4.0
8,27,Male,Shorts,Clothing,34,Louisiana,3,Charcoal,Winter,3.2,1,Free Shipping,1,1,19,Credit Card,52.0
9,26,Male,Coat,Outerwear,97,West Virginia,3,Silver,Summer,2.6,1,Express,1,1,8,Venmo,1.0
10,57,Male,Handbag,Accessories,31,Missouri,2,Pink,Spring,4.8,1,2-Day Shipping,1,1,4,Cash,4.0
11,53,Male,Shoes,Footwear,34,Arkansas,3,Purple,Fall,4.1,1,Store Pickup,1,1,26,Bank Transfer,26.0
12,30,Male,Shorts,Clothing,68,Hawaii,1,Olive,Winter,4.9,1,Store Pickup,1,1,10,Bank Transfer,26.0
13,61,Male,Coat,Outerwear,72,Delaware,2,Gold,Winter,4.5,1,Express,1,1,37,Venmo,26.0
14,65,Male,Dress,Clothing,51,New Hampshire,2,Violet,Spring,4.7,1,Express,1,1,31,PayPal,52.0
15,64,Male,Coat,Outerwear,53,New York,3,Teal,Winter,4.7,1,Free Shipping,1,1,34,Debit Card,52.0
16,64,Male,Skirt,Clothing,81,Rhode Island,2,Teal,Winter,2.8,1,Store Pickup,1,1,8,PayPal,12.0
17,25,Male,Sunglasses,Accessories,36,Alabama,1,Gray,Spring,4.1,1,Next Day Air,1,1,44,Debit Card,26.0
18,53,Male,Dress,Clothing,38,Mississippi,4,Lavender,Winter,4.7,1,2-Day Shipping,1,1,36,Venmo,4.0
19,52,Male,Sweater,Clothing,48,Montana,1,Black,Summer,4.6,1,Free Shipping,1,1,17,Cash,52.0
20,66,Male,Pants,Clothing,90,Rhode Island,2,Green,Summer,3.3,1,Standard,1,1,46,Debit Card,26.0
21,21,Male,Pants,Clothing,51,Louisiana,2,Black,Winter,2.8,1,Express,1,1,50,Cash,4.0
22,31,Male,Pants,Clothing,62,North Carolina,2,Charcoal,Winter,4.1,1,Store Pickup,1,1,22,Debit Card,4.0
23,56,Male,Pants,Clothing,37,California,2,Peach,Summer,3.2,1,Store Pickup,1,1,32,Debit Card,1.0
24,31,Male,Pants,Clothing,88,Oklahoma,4,White,Winter,4.4,1,Express,1,1,40,Credit Card,52.0
25,18,Male,Jacket,Outerwear,22,Florida,2,Green,Fall,2.9,1,Store Pickup,1,1,16,Debit Card,52.0
26,18,Male,Hoodie,Clothing,25,Texas,2,Silver,Summer,3.6,1,Express,1,1,14,PayPal,1.0
27,38,Male,Jewelry,Accessories,20,Nevada,2,Red,Spring,3.6,1,Next Day Air,1,1,13,Credit Card,1.0
28,56,Male,Shorts,Clothing,56,Kentucky,3,Cyan,Summer,5.0,1,Next Day Air,1,1,7,Bank Transfer,4.0
29,54,Male,Handbag,Accessories,94,North Carolina,2,Gray,Fall,4.4,1,Free Shipping,1,1,41,PayPal,4.0
30,31,Male,Dress,Clothing,48,Wyoming,1,Black,Fall,4.1,1,Store Pickup,1,1,14,Credit Card,52.0
31,57,Male,Jewelry,Accessories,31,North Carolina,3,Black,Winter,4.7,1,Standard,1,1,16,Credit Card,12.0
32,33,Male,Dress,Clothing,79,West Virginia,3,Brown,Winter,4.7,1,Store Pickup,1,1,45,Venmo,12.0
33,36,Male,Jacket,Outerwear,67,Kansas,2,Silver,Summer,4.9,1,Free Shipping,1,1,37,Venmo,1.0
34,54,Male,Pants,Clothing,38,Colorado,3,Green,Summer,3.3,1,Store Pickup,1,1,45,Cash,4.0
35,36,Male,T-shirt,Clothing,91,North Dakota,3,Violet,Spring,4.6,1,2-Day Shipping,1,1,38,PayPal,4.0
36,54,Male,Blouse,Clothing,33,Massachusetts,2,Cyan,Summer,4.0,1,2-Day Shipping,1,1,48,Credit Card,26.0
37,35,Male,T-shirt,Clothing,69,Illinois,2,Maroon,Winter,4.6,1,Free Shipping,1,1,44,PayPal,26.0
38,35,Male,Jeans,Clothing,45,Indiana,1,Cyan,Summer,2.8,1,Store Pickup,1,1,10,PayPal,52.0
39,29,Male,Dress,Clothing,37,Florida,2,Red,Winter,3.8,1,2-Day Shipping,1,1,44,Venmo,4.0
40,70,Male,Pants,Clothing,60,Arizona,1,Turquoise,Summer,4.2,1,Express,1,1,18,Credit Card,12.0
41,69,Male,Handbag,Accessories,76,Louisiana,3,Beige,Winter,4.6,1,Next Day Air,1,1,31,Debit Card,4.0
42,67,Male,Scarf,Accessories,39,Alaska,2,Orange,Spring,4.5,1,Standard,1,1,40,Venmo,1.0
43,20,Male,Coat,Outerwear,100,Tennessee,2,Beige,Spring,4.1,1,Free Shipping,1,1,15,PayPal,1.0
44,25,Male,Scarf,Accessories,69,Ohio,3,Lavender,Fall,3.7,1,Store Pickup,1,1,19,PayPal,26.0
45,39,Male,Hat,Accessories,53,Kentucky,1,Silver,Summer,4.6,1,Free Shipping,1,1,45,PayPal,52.0
46,50,Male,Socks,Clothing,21,Tennessee,4,Indigo,Fall,2.9,1,2-Day Shipping,1,1,25,PayPal,1.0
47,57,Male,Shirt,Clothing,43,California,3,White,Summer,2.9,1,Store Pickup,1,1,45,Cash,4.0
48,55,Male,Jewelry,Accessories,54,Montana,2,Charcoal,Winter,4.5,1,Free Shipping,1,1,36,Cash,52.0
49,42,Male,Shirt,Clothing,55,Nevada,2,Orange,Summer,2.7,1,Store Pickup,1,1,38,Cash,12.0
50,68,Male,Hoodie,Clothing,30,New Jersey,1,Indigo,Spring,4.6,1,Next Day Air,1,1,34,Debit Card,26.0
51,49,Male,Blouse,Clothing,28,Maryland,2,Red,Spring,3.8,1,Store Pickup,1,1,39,Debit Card,26.0
52,59,Male,Skirt,Clothing,59,Vermont,4,Gray,Winter,4.7,1,2-Day Shipping,1,1,7,Credit Card,4.0
53,42,Male,T-shirt,Clothing,20,Alaska,2,Green,Summer,2.6,1,Free Shipping,1,1,26,Credit Card,52.0
54,29,Male,Skirt,Clothing,24,Mississippi,1,Peach,Winter,3.9,1,Next Day Air,1,1,35,Credit Card,52.0
55,47,Male,Coat,Outerwear,94,New Mexico,2,Brown,Summer,4.2,1,Next Day Air,1,1,35,Debit Card,26.0
56,40,Male,Jacket,Outerwear,28,South Carolina,2,Lavender,Winter,3.0,1,2-Day Shipping,1,1,49,Credit Card,1.0
57,41,Male,Backpack,Accessories,73,Mississippi,4,Brown,Summer,4.7,1,Store Pickup,1,1,46,Credit Card,52.0
58,21,Male,Coat,Outerwear,64,West Virginia,2,White,Summer,4.4,1,Store Pickup,1,1,17,Debit Card,26.0
59,69,Male,Hoodie,Clothing,54,Missouri,2,Charcoal,Summer,4.2,1,Free Shipping,1,1,29,Venmo,12.0
60,63,Male,Belt,Accessories,79,Louisiana,3,Yellow,Spring,4.6,1,Standard,1,1,4,Debit Card,52.0
61,50,Male,Sweater,Clothing,37,Idaho,3,Brown,Summer,4.0,1,Express,1,1,17,Cash,52.0
62,55,Male,Scarf,Accessories,68,Texas,2,Orange,Winter,4.7,1,Store Pickup,1,1,21,Credit Card,4.0
63,30,Male,Sneakers,Footwear,21,Mississippi,1,Magenta,Spring,3.8,1,Free Shipping,1,1,31,Credit Card,26.0
64,33,Male,Sunglasses,Accessories,79,Arizona,3,Lavender,Winter,2.7,1,2-Day Shipping,1,1,43,Credit Card,52.0
65,65,Male,Boots,Footwear,83,Alabama,1,Green,Fall,4.8,1,Standard,1,1,18,Debit Card,26.0
66,65,Male,Backpack,Accessories,36,New Jersey,2,Purple,Spring,4.8,1,2-Day Shipping,1,1,44,Venmo,4.0
67,31,Male,Blouse,Clothing,94,Pennsylvania,1,Magenta,Winter,4.7,1,2-Day Shipping,1,1,3,Venmo,4.0
68,45,Male,Coat,Outerwear,33,Connecticut,3,Gray,Winter,4.4,1,Store Pickup,1,1,49,Debit Card,12.0
69,57,Male,Handbag,Accessories,46,Utah,3,Silver,Summer,3.9,1,Next Day Air,1,1,21,Cash,4.0
70,48,Male,Belt,Accessories,70,Tennessee,1,Cyan,Summer,4.4,1,Express,1,1,5,Cash,52.0
71,22,Male,Belt,Accessories,29,Alabama,2,Magenta,Fall,4.2,1,Express,1,1,32,Debit Card,4.0
72,36,Male,Dress,Clothing,48,Virginia,3,Gold,Summer,2.9,1,Express,1,1,34,Bank Transfer,1.0
73,18,Male,Dress,Clothing,26,Georgia,2,Olive,Winter,2.9,1,Store Pickup,1,1,21,Bank Transfer,4.0
74,48,Male,Pants,Clothing,85,Hawaii,2,Teal,Spring,2.7,1,Free Shipping,1,1,43,Bank Transfer,26.0
75,49,Male,Gloves,Accessories,58,Indiana,3,Violet,Spring,4.5,1,Express,1,1,3,Cash,12.0
76,64,Male,Scarf,Accessories,85,Utah,2,Blue,Summer,2.7,1,Free Shipping,1,1,21,Credit Card,1.0
77,50,Male,Hat,Accessories,43,Delaware,1,Teal,Summer,4.2,1,Free Shipping,1,1,32,Venmo,12.0
78,22,Male,Dress,Clothing,53,Delaware,3,Gold,Summer,3.3,1,Next Day Air,1,1,36,Debit Card,26.0
79,50,Male,Skirt,Clothing,91,Nebraska,2,Maroon,Spring,4.7,1,Free Shipping,1,1,50,Venmo,26.0
80,38,Male,Jacket,Outerwear,96,Iowa,2,Olive,Winter,2.6,1,2-Day Shipping,1,1,43,Bank Transfer,4.0
81,19,Male,Sandals,Footwear,72,New York,4,Blue,Summer,3.8,1,Store Pickup,1,1,24,Credit Card,4.0
82,67,Male,Shoes,Footwear,96,Virginia,3,Maroon,Summer,2.6,1,Express,1,1,36,Credit Card,4.0
83,19,Male,Pants,Clothing,28,Georgia,1,Olive,Spring,4.0,1,2-Day Shipping,1,1,21,Credit Card,4.0
84,36,Male,Dress,Clothing,40,Texas,2,Turquoise,Summer,4.1,1,Standard,1,1,34,Bank Transfer,52.0
85,52,Male,Coat,Outerwear,32,Arizona,1,Peach,Spring,4.4,1,Standard,1,1,42,Bank Transfer,4.0
86,53,Male,Sunglasses,Accessories,95,New Mexico,2,Charcoal,Winter,4.5,1,Next Day Air,1,1,2,Debit Card,26.0
87,24,Male,Hoodie,Clothing,41,Nevada,3,Pink,Spring,3.7,1,2-Day Shipping,1,1,47,Cash,26.0
88,52,Male,Shoes,Footwear,53,Ohio,2,Green,Fall,3.7,1,2-Day Shipping,1,1,44,Debit Card,26.0
89,33,Male,T-shirt,Clothing,47,Wyoming,2,Orange,Fall,3.5,1,Free Shipping,1,1,35,Credit Card,12.0
90,47,Male,Jacket,Outerwear,83,California,4,Pink,Fall,3.6,1,Next Day Air,1,1,15,Cash,4.0
91,25,Male,Hat,Accessories,48,South Carolina,3,Violet,Summer,2.9,1,Express,1,1,29,Credit Card,12.0
92,44,Male,Scarf,Accessories,99,South Carolina,1,Green,Winter,4.6,1,Standard,1,1,18,Credit Card,4.0
93,61,Male,Jacket,Outerwear,87,Texas,2,Olive,Winter,4.4,1,2-Day Shipping,1,1,13,Venmo,4.0
94,37,Male,Sweater,Clothing,62,Florida,2,Purple,Fall,4.5,1,Standard,1,1,46,Credit Card,52.0
95,58,Male,Skirt,Clothing,76,Nevada,1,Silver,Spring,4.6,1,Free Shipping,1,1,28,Credit Card,52.0
96,37,Male,Sneakers,Footwear,100,Missouri,3,Pink,Fall,3.8,1,Free Shipping,1,1,48,PayPal,12.0
97,32,Male,Gloves,Accessories,73,Delaware,1,Gold,Spring,3.8,1,Express,1,1,43,Venmo,4.0
98,21,Male,Shoes,Footwear,92,Virginia,2,Teal,Winter,4.8,1,Store Pickup,1,1,37,Cash,1.0
99,20,Male,Jeans,Clothing,67,New York,4,Teal,Spring,2.6,1,Next Day Air,1,1,20,Bank Transfer,1.0
100,26,Male,Hoodie,Clothing,40,Missouri,4,Indigo,Summer,3.7,1,Express,1,1,33,Debit Card,4.0
101,62,Male,Sunglasses,Accessories,98,South Dakota,2,Maroon,Fall,2.7,1,Express,1,1,31,Cash,26.0
102,27,Male,Coat,Outerwear,85,North Dakota,4,White,Spring,4.6,1,Express,1,1,50,Credit Card,26.0
103,51,Male,Socks,Clothing,67,Oklahoma,3,Violet,Winter,4.8,1,Next Day Air,1,1,35,Credit Card,4.0
104,54,Male,Boots,Footwear,89,West Virginia,3,Red,Winter,4.0,1,Next Day Air,1,1,22,Venmo,26.0
105,55,Male,Sunglasses,Accessories,24,New Hampshire,3,Pink,Spring,4.4,1,2-Day Shipping,1,1,1,PayPal,12.0
106,69,Male,Backpack,Accessories,96,New York,2,Charcoal,Fall,3.6,1,Next Day Air,1,1,4,Bank Transfer,1.0
107,64,Male,Jacket,Outerwear,35,Minnesota,3,White,Summer,3.7,1,Standard,1,1,31,Credit Card,12.0
108,28,Male,Sneakers,Footwear,67,Maryland,3,Olive,Winter,3.1,1,Next Day Air,1,1,46,PayPal,26.0
109,70,Male,Socks,Clothing,79,Montana,3,Purple,Spring,3.4,1,Next Day Air,1,1,32,Bank Transfer,26.0
110,58,Male,T-shirt,Clothing,85,Alabama,2,Violet,Spring,2.6,1,Next Day Air,1,1,43,Bank Transfer,26.0
111,56,Male,Backpack,Accessories,26,New York,2,Black,Summer,4.0,1,Standard,1,1,26,Venmo,26.0
112,26,Male,Belt,Accessories,75,Massachusetts,3,Purple,Summer,5.0,1,Free Shipping,1,1,9,Credit Card,1.0
